,Entity,Direct-17H-Rc-Ei,Direct-17H-Rc-Ei_sup,Direct-17H-Rc-Ei_inf,Direct-17H-Rc-Eabs,Direct-17H-Rs-Ei,Direct-17H-Rs-Ei_sup,Direct-17H-Rs-Ei_inf,Direct-17H-Rs-Eabs,Direct-17H-PAR-Ei,Direct-17H-PAR-Ei_sup,Direct-17H-PAR-Ei_inf,Direct-17H-PAR-Eabs
15100,7983018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15101,7983019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15102,7983020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15103,7983021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15104,7986001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15105,7986002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15106,7986003,0.05083650064218188,0.05017117799182757,0.0,0.04722710909658697,0.05083650064218188,0.05017117799182757,0.0,0.010650246884537104,0.05083650064218188,0.05017117799182757,0.0,0.045168230820578595
15107,7986004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15108,7990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15109,7990002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15110,7990003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15111,7990004,0.010961664581930155,0.009739438981044941,0.0,0.010183386396613115,0.010961664581930155,0.009739438981044941,0.0,0.0022964687299143675,0.010961664581930155,0.009739438981044941,0.0,0.009739438981044941
15112,7990005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15113,7990006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15114,7990007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15115,7990008,0.014421776845723572,0.012813748727425392,0.0,0.013397830689677195,0.014421776845723572,0.012813748727425392,0.0,0.003021362249179088,0.014421776845723572,0.012813748727425392,0.0,0.012813748727425392
15116,7990009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15117,7990010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15118,7990011,0.030147423784904995,0.0,0.03165616531159501,0.02800695669617674,0.030147423784904995,0.0,0.03165616531159501,0.006315885282937597,0.030147423784904995,0.0,0.03165616531159501,0.026785986032888086
15119,7990012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15120,7990013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15121,7991001,0.050672592019745354,0.050025108899493055,0.0,0.04707483798634344,0.050672592019745354,0.050025108899493055,0.0,0.010615908028136655,0.050672592019745354,0.050025108899493055,0.0,0.045022598009543745
15122,7991002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15123,7991003,0.06546783684179408,0.046120110898608166,0.014610290518581882,0.060819620426026705,0.06546783684179408,0.046120110898608166,0.014610290518581882,0.013715511818355862,0.06546783684179408,0.046120110898608166,0.014610290518581882,0.05816817303393403
15124,7991004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15125,7991005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15126,7991006,0.08017755983490656,0.07636261867584482,0.0,0.0744849530866282,0.08017755983490656,0.07636261867584482,0.0,0.016797198785412925,0.08017755983490656,0.07636261867584482,0.0,0.07123776191331446
15127,7991007,0.02307208167038364,0.023061987634652843,0.0,0.0214339638717864,0.02307208167038364,0.023061987634652843,0.0,0.004833601109945372,0.02307208167038364,0.023061987634652843,0.0,0.020499544564135858
15128,7991008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15129,7991009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15130,7991010,0.042303349904302505,0.04006406301718392,0.0,0.03929981206109703,0.042303349904302505,0.04006406301718392,0.0,0.008862551804951374,0.042303349904302505,0.04006406301718392,0.0,0.03758652638997278
15131,7991011,0.22076711543755936,0.21601450093102162,0.0,0.20509265024149267,0.22076711543755936,0.21601450093102162,0.0,0.046250710684168694,0.22076711543755936,0.21601450093102162,0.0,0.19615158206627153
15132,7991012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15133,7991013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15134,7991014,0.05162039360944936,0.05098897359712134,0.0,0.047955345663178474,0.05162039360944936,0.05098897359712134,0.0,0.010814472461179642,0.05162039360944936,0.05098897359712134,0.0,0.04586471972199576
15135,7991015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15136,7991016,0.024662739550274253,0.02191284409041867,0.0,0.02291168504220478,0.024662739550274253,0.02191284409041867,0.0,0.005166843935782456,0.024662739550274253,0.02191284409041867,0.0,0.02191284409041867
15137,7991017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
