,Entity,Direct-sun_18H-Rc-Ei,Direct-sun_18H-Rc-Ei_sup,Direct-sun_18H-Rc-Ei_inf,Direct-sun_18H-Rc-Eabs,Direct-sun_18H-Rs-Ei,Direct-sun_18H-Rs-Ei_sup,Direct-sun_18H-Rs-Ei_inf,Direct-sun_18H-Rs-Eabs,Direct-sun_18H-PAR-Ei,Direct-sun_18H-PAR-Ei_sup,Direct-sun_18H-PAR-Ei_inf,Direct-sun_18H-PAR-Eabs
0,incident,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,27001,0.0,0.0,0.0,0.0,0.042936882782310004,0.01243530059941477,0.01752735254357185,0.009999999999999998,0.0,0.0,0.0,0.0
2,27002,0.0,0.0,0.0,0.0,0.04293688278231,0.015129719777107555,0.029820245189255308,0.009999999999999998,0.0,0.0,0.0,0.0
3,27003,0.0,0.0,0.0,0.0,0.03193438391131402,0.012435206796655393,0.01752708810447786,0.0074375180129450345,0.0,0.0,0.0,0.0
4,28001,0.0,0.0,0.0,0.0,0.04293688278231002,0.02243503155276562,0.014912588712307799,0.01,0.0027980148779078833,0.0024350315527656165,0.0,0.0024350315527656165
5,28002,0.0,0.0,0.0,0.0,0.042936882782310004,0.017565235962563857,0.02234424207118218,0.009999999999999997,0.0,0.0,0.0,0.0
6,28003,0.0,0.0,0.0,0.0,0.021297566238772558,0.012434834962399334,0.007565165037600664,0.004960203177010128,0.0,0.0,0.0,0.0
7,28004,0.0,0.0,0.0,0.0,0.042936882782310004,0.012525260482103959,0.029692536416913034,0.009999999999999998,0.0,0.0,0.0,0.0
8,31001,0.0,0.0,0.0,0.0,0.042936882782310004,0.020036718733605824,0.009999999999999997,0.009999999999999997,0.0,0.0,0.0,0.0
9,32001,0.0,0.0,0.0,0.0,0.04293688278231,0.030091209012378134,0.012562803269094964,0.009999999999999997,0.0,0.0,0.0,0.0
10,32002,0.0,0.0,0.0,0.0,0.04293688278231001,0.022434890578896506,0.007565109421103496,0.01,0.0,0.0,0.0,0.0
11,32003,0.0,0.0,0.0,0.0,0.04293688278231001,0.027491400244454466,0.014870366133672179,0.009999999999999998,0.0,0.0,0.0,0.0
12,32004,0.0,0.0,0.0,0.0,0.04293688278231001,0.02990950246608292,0.007437622247623293,0.009999999999999997,0.0,0.0,0.0,0.0
13,32005,0.0,0.0,0.0,0.0,0.021480676911356023,0.012525511688399533,0.01,0.005002849652654817,0.0,0.0,0.0,0.0
14,32006,0.0,0.0,0.0,0.0,0.04293688278231,0.025002622022534258,0.007475067092089941,0.009999999999999998,0.0,0.0,0.0,0.0
15,32007,0.0,0.0,0.0,0.0,0.03229973015690961,0.014997252714575181,0.005002747285424812,0.007522607153544247,0.0,0.0,0.0,0.0
16,32008,0.0,0.0,0.0,0.0,0.042936882782310004,0.02009065507315618,0.019818689853687628,0.009999999999999998,0.0,0.0,0.0,0.0
17,35001,0.0,0.0,0.0,0.0,0.04293688278231,0.009999999999999997,0.02004269739116062,0.009999999999999997,0.0,0.0,0.0,0.0
18,38001,0.0,0.0,0.0,0.0,0.042936882782310004,0.027654332542756975,0.01991057621849803,0.009999999999999997,0.0,0.0,0.0,0.0
19,38002,0.0,0.0,0.0,0.0,0.04293688278231001,0.0273846775158831,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
20,38003,0.0,0.0,0.0,0.0,0.042936882782310004,0.020091053478977224,0.012434580081727471,0.009999999999999998,0.0,0.0,0.0,0.0
21,38004,0.0,0.0,0.0,0.0,0.03229881693595786,0.015087319678615112,0.012562558011528687,0.007522394464384584,0.0,0.0,0.0,0.0
22,38005,0.0,0.0,0.0,0.0,0.042936882782310004,0.02494882070358734,0.009999999999999997,0.009999999999999997,0.0,0.0,0.0,0.0
23,38006,0.0,0.0,0.0,0.0,0.04293688278231001,0.03008990549203983,0.012435054739513101,0.01,0.0,0.0,0.0,0.0
24,38007,0.0,0.0,0.0,0.0,0.042936882782310004,0.019957102354171564,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
25,38008,0.0,0.0,0.0,0.0,0.04293688278231001,0.022567876556062766,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
26,38009,0.0,0.0,0.0,0.0,0.03229630229640793,0.015086321653612641,0.01,0.007521808804833405,0.0,0.0,0.0,0.0
27,38010,0.0,0.0,0.0,0.0,0.042936882782310004,0.024997406040024466,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
28,38011,0.0,0.0,0.0,0.0,0.042936882782310004,0.0301755410576453,0.01243460438575856,0.009999999999999998,0.0,0.0,0.0,0.0
29,39001,0.0,0.0,0.0,0.0,0.021846414266567495,0.01508802988268357,0.007565634493305817,0.0050880298826835695,0.0,0.0,0.0,0.0
30,39002,0.0,0.0,0.0,0.0,0.042936882782310004,0.02009086483166583,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
31,39003,0.0,0.0,0.0,0.0,0.032483766710125955,0.01756546926678833,0.009999999999999998,0.007565469266788333,0.0,0.0,0.0,0.0
32,39004,0.0,0.0,0.0,0.0,0.03209304425056087,0.01990902763548717,0.009999999999999998,0.007474470005955626,0.0,0.0,0.0,0.0
33,39005,0.0,0.0,0.0,0.0,0.042936882782310004,0.019999999999999997,0.014869309298906676,0.009999999999999998,0.0,0.0,0.0,0.0
34,39006,0.0,0.0,0.0,0.0,0.010455382990141005,0.012435058698403839,0.0025252153532935315,0.00243505869840384,0.0,0.0,0.0,0.0
35,39007,0.0,0.0,0.0,0.0,0.042936882782310004,0.019999999999999997,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
36,39008,0.0,0.0,0.0,0.0,0.021847355910363103,0.015088249191523566,0.009999999999999998,0.005088249191523566,0.0,0.0,0.0,0.0
37,39009,0.0,0.0,0.0,0.0,0.010456592761872234,0.017348474692272613,0.005086865761967424,0.002435340454240043,0.0,0.0,0.0,0.0
38,39010,0.0,0.0,0.0,0.0,0.021296583940867288,0.012525589482514555,0.007474410517485443,0.004959974399827991,0.0,0.0,0.0,0.0
39,39011,0.0,0.0,0.0,0.0,0.0,0.004960018040476132,0.0025252323400538693,0.0,0.0,0.0,0.0,0.0
40,39012,0.0,0.0,0.0,0.0,0.021089352726373575,0.017437273402295478,0.0049117102499724044,0.0049117102499724044,0.0,0.0,0.0,0.0
41,39013,0.0,0.0,0.0,0.0,0.03248332719752285,0.01508801346885991,0.01252529503890925,0.007565366904303071,0.0,0.0,0.0,0.0
42,42001,0.0,0.0,0.0,0.0,0.042936882782310004,0.02756522242888993,0.022344092526520313,0.009999999999999998,0.0,0.0,0.0,0.0
43,42002,0.0,0.0,0.0,0.0,0.042936882782310004,0.03247214973452372,0.012525102949979681,0.01,0.0,0.0,0.0,0.0
44,42003,0.0,0.0,0.0,0.0,0.032093364838744476,0.01756005086948029,0.014869804737610378,0.007474544670943588,0.0,0.0,0.0,0.0
45,42004,0.0,0.0,0.0,0.0,0.04293688278231,0.03243469604273276,0.012477037082213868,0.009999999999999997,0.0,0.0,0.0,0.0
46,42005,0.0,0.0,0.0,0.0,0.04293688278231,0.01747494370679602,0.009999999999999997,0.009999999999999997,0.0,0.0,0.0,0.0
47,42006,0.0,0.0,0.0,0.0,0.04293688278231001,0.017565165487784005,0.012434834512215994,0.009999999999999998,0.0,0.0,0.0,0.0
48,42007,0.0,0.0,0.0,0.0,0.04293688278231002,0.02,0.007565133062572625,0.01,0.0,0.0,0.0,0.0
49,42008,0.0,0.0,0.0,0.0,0.04293688278231,0.015002454366235228,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0
50,42009,0.0,0.0,0.0,0.0,0.04293688278231,0.029910104773261,0.012524956853008078,0.009999999999999997,0.0,0.0,0.0,0.0
51,42010,0.0,0.0,0.0,0.0,0.011001284764885738,0.012562199221741888,0.00756484044438361,0.0025621992217418877,0.0,0.0,0.0,0.0
52,43001,0.0,0.0,0.0,0.0,0.042936882782310004,0.025130586258692966,0.01486941374130703,0.009999999999999998,0.0,0.0,0.0,0.0
53,43002,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.007565527581122518,0.0,0.0,0.0,0.0,0.0
54,43003,0.0,0.0,0.0,0.0,0.032485160627659763,0.009999999999999998,0.012476782757840933,0.007565793910181957,0.0,0.0,0.0,0.0
55,43004,0.0,0.0,0.0,0.0,0.042936882782310004,0.022434927041135113,0.010047877726269324,0.009999999999999998,0.0,0.0,0.0,0.0
