101,2017,276,800,11.94,1.857,.823,.845,8.23,2.628,20.39,.696,33.49,-24.33,1.185,88.2,10.67,3.297,1.364,11.91,11.22,51.81,68.87,4.49,.789,40.21,3.052,1.953,7.86,1.039,1.23,2.417,.399,.64,1.021,.377,2.112
101,2017,276,810,11.94,2.018,1.037,.957,51.02,2.837,18.76,.722,28.62,-23.95,1.302,93.5,6.116,21.71,1.441,13.51,32.3,57.48,74.6,27.4,.846,52.7,2.226,1.968,8.24,1.099,2.165,2.516,.402,.607,1.069,.407,11.62
101,2017,276,820,11.94,2.192,1.337,1.084,59.3,2.998,3.539,1.232,12.85,-23.39,3.33,98.1,1.795,6.715,1.502,16.85,39.06,62.93,79.7,67.52,.87,55.77,2.46,4.732,8.81,1.138,1.374,2.616,.427,.645,1.119,.436,.633
101,2017,276,830,11.95,2.46,1.699,1.181,61.93,3.283,3.658,1.143,6.352,-22.8,21.77,102.3,1.421,8.21,1.58,21.52,45.3,68.17,84.5,73.2,.886,47.42,2.051,25.3,8.87,1.211,2.391,2.716,.436,1.146,1.156,.456,.628
101,2017,276,840,11.95,3.396,24.83,1.275,62.81,10.29,3.808,3.266,-2.232,-21.64,18.43,106.1,1.411,31.69,1.672,26.3,51.69,73.1,88.9,31.9,.968,31.31,2.066,12.95,9.04,1.27,2.917,2.822,.436,.714,1.19,.442,2.037
101,2017,276,850,11.95,10.83,41.91,1.381,61.68,29.26,3.609,2.641,-5.735,-20.28,38.93,109.2,3.854,14.55,1.925,31.04,57.59,77.2,92.9,5.001,1.007,13.74,2.242,6.715,10.39,1.345,2.006,2.937,.466,.757,1.235,.469,.623
101,2017,276,900,11.95,2.989,5.588,1.468,59.12,25.82,3.473,.93,-9.66,-20.67,21.86,112.3,16.42,3.832,2.96,35.8,63.08,81.3,96.8,5.241,1.047,6.667,2.401,37.26,11.29,1.376,2.054,3.068,.506,.843,1.283,.484,.647
101,2017,276,910,11.95,4.617,60.2,1.6,55.1,59.25,6.665,.927,-9.59,-18.71,31.4,115.5,4.388,2.734,1.878,40.63,68.23,85.6,100.8,7.16,1.099,6.415,2.269,72.5,12.34,1.533,2.707,3.202,.622,3.984,1.342,.503,.727
101,2017,276,920,11.95,3.349,13.69,1.702,49.1,69.97,42.77,.952,8.44,-18.01,1.779,117.4,1.685,2.712,1.943,45.57,72.5,88.4,103.6,5.07,1.159,6.935,2.242,31.97,14.99,3.555,2.269,3.312,.591,5.368,8.15,.509,.836
101,2017,276,930,11.95,5.185,2.548,1.612,43.52,50.06,50.27,2.465,11.03,-18.44,4.383,119.7,1.68,2.786,2.016,50.8,76.9,82.9,107,5.169,1.225,8.03,2.352,7.21,18.26,1.556,2.667,3.466,.561,1.05,5.695,.546,1.391
