,Entity,Diffus-23-Rc-Ei,Diffus-23-Rc-Ei_sup,Diffus-23-Rc-Ei_inf,Diffus-23-Rc-Eabs,Diffus-23-Rs-Ei,Diffus-23-Rs-Ei_sup,Diffus-23-Rs-Ei_inf,Diffus-23-Rs-Eabs,Diffus-23-PAR-Ei,Diffus-23-PAR-Ei_sup,Diffus-23-PAR-Ei_inf,Diffus-23-PAR-Eabs
3256,1671001,0.016179413297233707,0.0,0.017474484457989537,0.01494896891597908,0.03209310630308949,0.0024776606416545676,0.022471308274324513,0.00747448445798954,0.017177369791691585,0.0,0.017474484457989537,0.01494896891597908
3257,1671002,0.005414194453830551,0.0,0.007527516876951929,0.005002444965616737,0.010841871667390264,0.0,0.010090042058011908,0.002525071911335192,0.008649622708786933,0.0,0.007527516876951929,0.007527516876951929
3258,1671003,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0
3259,1671004,0.008050223470995902,0.0,0.0074380039760266635,0.0074380039760266635,0.01084119169361853,0.0,0.012524913545443756,0.002524913545443756,0.00854676637073697,0.0,0.0074380039760266635,0.0074380039760266635
3260,1671005,0.021646192975810375,0.0,0.027474957425082703,0.019999999999999997,0.04293688278231,0.002477819531037641,0.03,0.009999999999999998,0.022981343915071686,0.0,0.027474957425082703,0.019999999999999997
3261,1671006,0.026963074235344015,0.0,0.027474730697220943,0.024912532439746105,0.04293688278231001,0.007474730697220946,0.027474730697220943,0.01,0.028626173789659256,0.0,0.027474730697220943,0.024912532439746105
3262,1671007,0.008187668228144528,0.0,0.007564996059394134,0.007564996059394134,0.021843585293548413,0.005039731800721665,0.012652367074261556,0.0050873710148674235,0.008692688807854936,0.0,0.007564996059394134,0.007564996059394134
3263,1671008,0.010771070491401831,0.0,0.00995193058053072,0.00995193058053072,0.02163938363344131,0.0,0.01995193058053072,0.0050398124482284815,0.011435436964504778,0.0,0.00995193058053072,0.00995193058053072
3264,1671009,0.010921062694736399,0.0,0.012652440213944488,0.010090515876801695,0.02184421155074981,0.0,0.015178032746971324,0.005087516870169629,0.011594680782263545,0.0,0.012652440213944488,0.010090515876801695
3265,1671010,0.029736563642059552,0.0,0.02747509797708092,0.02747509797708092,0.04293688278231,0.009999999999999998,0.02747509797708092,0.009999999999999998,0.031570733785579355,0.0,0.02747509797708092,0.02747509797708092
3266,1671011,0.0270547027814589,0.0,0.027474330164092987,0.02499719263492895,0.04293688278231,0.009999999999999998,0.027474330164092987,0.009999999999999998,0.028723454042729964,0.0,0.02499719263492895,0.02499719263492895
3267,1671012,0.016375737205176155,0.0,0.015130362390722508,0.015130362390722508,0.03248252982121621,0.002524912333593801,0.02265257901370143,0.007565181195361254,0.01738580308304301,0.0,0.015130362390722508,0.015130362390722508
3268,1671013,0.02963802418681492,0.0,0.029909402537123892,0.027384052447407645,0.042936882782310004,0.009999999999999997,0.029909402537123892,0.009999999999999997,0.031466116354111784,0.0,0.029909402537123892,0.027384052447407645
3269,1671014,0.01910837382473755,0.0,0.017655181995366257,0.017655181995366257,0.03248158365124404,0.0025252603306167853,0.022652566570167502,0.007564960832374736,0.02028699046593468,0.0,0.017655181995366257,0.017655181995366257
3270,1671015,0.024327599888162493,0.0,0.027474556288027526,0.022477485916667733,0.04293688278231001,0.009999999999999997,0.027474556288027526,0.009999999999999997,0.025828141709856083,0.0,0.027474556288027526,0.022477485916667733
3271,1671016,0.02705493682722156,0.0,0.02747499455656263,0.02499740888151136,0.042936882782310004,0.01,0.02747499455656263,0.01,0.028723702524583998,0.0,0.02747499455656263,0.02499740888151136
3272,1674001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3273,1674002,0.0,0.0,0.0,0.0,0.0,0.0,0.002524905190501958,0.0,0.0,0.0,0.0,0.0
3274,1674003,0.0,0.0,0.0,0.0,0.0,0.0,0.002562849487007155,0.0,0.0,0.0,0.0,0.0
3275,1674004,0.005506638499689885,0.0,0.0050878586417884685,0.0050878586417884685,0.0,0.0,0.010127864140582506,0.0,0.005846291461910517,0.0,0.0050878586417884685,0.0050878586417884685
3276,1674005,0.010921117375933355,0.0,0.012653136531580228,0.010090566399493623,0.021845614430283464,0.0,0.015130585861534417,0.005087843600813019,0.011594738836231482,0.0,0.012653136531580228,0.010090566399493623
3277,1674006,0.00540881307341101,0.0,0.004997472839178102,0.004997472839178102,0.0,0.0,0.01256264113055123,0.0,0.005742432101169087,0.0,0.004997472839178102,0.004997472839178102
3278,1674007,0.002733279395800342,0.0,0.002525413497749726,0.002525413497749726,0.0,0.0,0.002525413497749726,0.0,0.0029018698059775287,0.0,0.002525413497749726,0.002525413497749726
3279,1674008,0.008239820071391133,0.0,0.007613181754961836,0.007613181754961836,0.02184596981606597,0.0,0.012653046442619803,0.0050879263701617645,0.00874805740993635,0.0,0.007613181754961836,0.007613181754961836
3280,1674009,0.013458518940108839,0.0,0.012434998574713559,0.012434998574713559,0.010455124837756812,0.002562505126359055,0.012434998574713559,0.002434998574713561,0.014288648941445931,0.0,0.012434998574713559,0.012434998574713559
3281,1674010,0.016427592305562504,0.0,0.015178273910724478,0.015178273910724478,0.02184547001005206,0.0,0.015178273910724478,0.0050878099653411234,0.017440856638975967,0.0,0.015178273910724478,0.015178273910724478
3282,1678001,0.010589201337043799,0.0,0.009783892575361618,0.009783892575361618,0.010456639318328522,0.007474967999338681,0.012345670593816107,0.002435351297238712,0.01124235000512509,0.0,0.009783892575361618,0.009783892575361618
3283,1678002,0.0,0.0,0.0025253641000741204,0.0,0.0,0.0,0.0025253641000741204,0.0,0.002901813044728944,0.0,0.0025253641000741204,0.0025253641000741204
3284,1678003,0.005316544996285837,0.0,0.0049122217493183,0.0049122217493183,0.0,0.0025620256921148736,0.007474247441433172,0.0,0.005644472870408946,0.0,0.0049122217493183,0.0049122217493183
3285,1678004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3286,1678005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3287,1678006,0.005270781442690648,0.0,0.007304907770961036,0.004869938513974023,0.010454998956577982,0.0,0.007304907770961036,0.0024349692569870115,0.005595886591744509,0.0,0.007304907770961036,0.004869938513974023
