,Entity,Diffus-03-Rc-Ei,Diffus-03-Rc-Ei_sup,Diffus-03-Rc-Ei_inf,Diffus-03-Rc-Eabs,Diffus-03-Rs-Ei,Diffus-03-Rs-Ei_sup,Diffus-03-Rs-Ei_inf,Diffus-03-Rs-Eabs,Diffus-03-PAR-Ei,Diffus-03-PAR-Ei_sup,Diffus-03-PAR-Ei_inf,Diffus-03-PAR-Eabs
0,incident,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504,0.01715349367508504
1,27001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27002,0.002681320462973509,0.0024774060417643733,0.0,0.0024774060417643733,0.0,0.0024774060417643733,0.0,0.0,0.002846706013153176,0.0024774060417643733,0.0,0.0024774060417643733
3,27003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,28001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,28002,0.002733141407749439,0.0025252860036900937,0.0,0.0025252860036900937,0.0,0.0025252860036900937,0.0,0.0,0.002901723306735952,0.0025252860036900937,0.0,0.0025252860036900937
6,28003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,28004,0.0054544696513703856,0.0050396572343836665,0.0,0.0050396572343836665,0.0,0.0050396572343836665,0.0,0.0,0.0057909048058725045,0.0050396572343836665,0.0,0.0050396572343836665
8,31001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,32001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,32002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,32003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,32004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
